"location","indicator","Unit","Date","Value"
"Texas","2 Adults 2 Children","US $","2018","14.78"
"Texas","2 Adults 2 Children","US $","2019","15.15"
"Texas","2 Adults 2 Children","US $","2020","20.23"
"Texas","2 Adults 2 Children","US $","2021","19.31"
"Texas","2 Adults 2 Children","US $","2022","22.1"
"Texas","2 Adults 3 Children","US $","2016","16.53"
"Texas","2 Adults 3 Children","US $","2018","17.07"
"Texas","2 Adults 3 Children","US $","2019","17.76"
"Texas","2 Adults 3 Children","US $","2020","23.28"
"Texas","2 Adults 3 Children","US $","2021","22.54"
"Texas","2 Adults 3 Children","US $","2022","25.96"
"Arkansas","1 Adult","US $","2016","9.92"
"Arkansas","1 Adult","US $","2018","10.62"
"Arkansas","1 Adult","US $","2019","10.67"
"Arkansas","1 Adult","US $","2020","13.6"
"Arkansas","1 Adult","US $","2021","13.29"
"Arkansas","1 Adult","US $","2022","15.55"
"Arkansas","1 Adult 1 Child","US $","2016","20.35"
"Arkansas","1 Adult 1 Child","US $","2018","21.72"
"Arkansas","1 Adult 1 Child","US $","2019","22.32"
"Arkansas","1 Adult 1 Child","US $","2020","28.57"
"Arkansas","1 Adult 1 Child","US $","2021","28.23"
"Arkansas","1 Adult 1 Child","US $","2022","30.01"
"Arkansas","1 Adult 2 Children","US $","2016","25.93"
"Arkansas","1 Adult 2 Children","US $","2018","25.66"
"Arkansas","1 Adult 2 Children","US $","2019","26.65"
"Arkansas","1 Adult 2 Children","US $","2020","34.45"
"Arkansas","1 Adult 2 Children","US $","2021","34.85"
"Arkansas","1 Adult 2 Children","US $","2022","37.51"
"Arkansas","1 Adult 3 Children","US $","2016","32.76"
"Arkansas","1 Adult 3 Children","US $","2018","31.87"
"Arkansas","1 Adult 3 Children","US $","2019","32.82"
"Arkansas","1 Adult 3 Children","US $","2020","44.82"
"Arkansas","1 Adult 3 Children","US $","2021","44.48"
"Arkansas","1 Adult 3 Children","US $","2022","49.31"
"Arkansas","2 Adults (1 Working)","US $","2016","16.48"
"Arkansas","2 Adults (1 Working)","US $","2018","17.44"
"Arkansas","2 Adults (1 Working)","US $","2019","17.86"
"Arkansas","2 Adults (1 Working)","US $","2020","23.09"
"Arkansas","2 Adults (1 Working)","US $","2021","22.5"
"Arkansas","2 Adults (1 Working)","US $","2022","24.28"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2016","20.76"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2018","21.14"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2019","22.05"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2020","27.09"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2021","27.15"
"Arkansas","2 Adults (1 Working) 1 Child","US $","2022","29.33"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2016","23.23"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2018","23.73"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2019","24.57"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2020","31.78"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2021","30.85"
"Arkansas","2 Adults (1 Working) 2 Children","US $","2022","34.81"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2016","25.67"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2018","26.3"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2019","27.74"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2020","33.48"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2021","32.89"
"Arkansas","2 Adults (1 Working) 3 Children","US $","2022","37.8"
"Arkansas","2 Adults (1 Working Part Time) 1 Child","US $","2016","11.76"
"Arkansas","2 Adults","US $","2016","8.24"
"Arkansas","2 Adults","US $","2018","8.72"
"Arkansas","2 Adults","US $","2019","8.93"
"Arkansas","2 Adults","US $","2020","11.54"
"Arkansas","2 Adults","US $","2021","11.25"
"Arkansas","2 Adults","US $","2022","12.14"
"Arkansas","2 Adults 1 Child","US $","2016","11.76"
"Arkansas","2 Adults 1 Child","US $","2018","12.01"
"Arkansas","2 Adults 1 Child","US $","2019","12.49"
"Arkansas","2 Adults 1 Child","US $","2020","15.42"
"Arkansas","2 Adults 1 Child","US $","2021","15.54"
"Arkansas","2 Adults 1 Child","US $","2022","16.74"
"Arkansas","2 Adults 2 Children","US $","2016","14.26"
"Arkansas","2 Adults 2 Children","US $","2018","14.18"
"Arkansas","2 Adults 2 Children","US $","2019","14.64"
"Arkansas","2 Adults 2 Children","US $","2020","19.64"
"Arkansas","2 Adults 2 Children","US $","2021","19.35"
"Arkansas","2 Adults 2 Children","US $","2022","21.56"
"Arkansas","2 Adults 3 Children","US $","2016","16.75"
"Arkansas","2 Adults 3 Children","US $","2018","16.34"
"Arkansas","2 Adults 3 Children","US $","2019","17.11"
"Arkansas","2 Adults 3 Children","US $","2020","22.37"
"Arkansas","2 Adults 3 Children","US $","2021","22.33"
"Arkansas","2 Adults 3 Children","US $","2022","25.14"
"California","1 Adult","US $","2016","13.21"
"California","1 Adult","US $","2018","14.61"
"California","1 Adult","US $","2019","14.99"
"California","1 Adult","US $","2020","18.57"
"California","1 Adult","US $","2021","18.66"
"California","1 Adult","US $","2022","21.82"
"California","1 Adult 1 Child","US $","2016","27.45"
